Number,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
935,30,male,3,own,moderate,moderate,"$1,919",30    ,radio/TV
936,28,female,1,own,little,rich,$745,9    ,radio/TV
937,30,male,3,rent,little,moderate,"$2,063",6    ,radio/TV
938,42,male,2,free,little,moderate,"$6,288",60    ,education
939,46,male,3,own,NA,NA,"$6,842",24    ,car
940,45,male,3,own,NA,NA,"$3,527",12    ,car
941,31,male,1,own,little,NA,"$1,546",10    ,car
942,31,male,2,own,NA,NA,$929,24    ,furniture/equipment
943,42,male,1,own,little,NA,"$1,455",4    ,car
944,46,female,2,rent,little,little,"$1,845",15    ,furniture/equipment
945,30,female,2,own,quite rich,moderate,"$8,358",48    ,car
946,30,male,2,free,quite rich,little,"$3,349",24    ,furniture/equipment
947,38,male,3,own,NA,NA,"$2,859",12    ,car
948,43,male,1,own,little,NA,"$1,533",18    ,furniture/equipment
949,31,male,2,own,moderate,NA,"$3,621",24    ,radio/TV
950,40,male,0,own,little,moderate,"$3,590",18    ,business
951,24,male,2,own,little,little,"$2,145",36    ,business
952,28,female,2,rent,quite rich,moderate,"$4,113",24    ,car
953,26,female,3,own,little,NA,"$10,974",36    ,furniture/equipment
954,29,female,2,own,little,little,"$1,893",12    ,car
955,57,female,3,rent,rich,little,"$1,231",24    ,radio/TV
956,49,male,1,own,NA,rich,"$3,656",30    ,radio/TV
957,37,male,1,own,little,moderate,"$1,154",9    ,radio/TV
958,45,male,1,own,little,little,"$4,006",28    ,car
959,30,male,2,free,moderate,moderate,"$3,069",24    ,furniture/equipment
960,30,male,2,rent,little,NA,"$1,740",6    ,radio/TV
961,47,male,2,own,little,moderate,"$2,353",21    ,car
962,29,male,2,own,NA,NA,"$3,556",15    ,car
963,35,male,2,own,quite rich,NA,"$2,397",24    ,radio/TV
964,22,male,1,own,little,moderate,$454,6    ,repairs
965,26,female,2,own,NA,moderate,"$1,715",30    ,radio/TV
966,23,male,1,own,quite rich,moderate,"$2,520",27    ,radio/TV
967,54,female,3,rent,little,NA,"$3,568",15    ,radio/TV
968,29,male,2,rent,NA,NA,"$7,166",42    ,radio/TV
969,40,male,1,own,little,little,"$3,939",11    ,car
970,22,male,2,own,moderate,moderate,"$1,514",15    ,repairs
971,43,male,1,own,little,NA,"$7,393",24    ,car
972,29,female,0,rent,little,little,"$1,193",24    ,car
973,36,male,2,rent,little,little,"$7,297",60    ,business
974,33,female,2,own,little,NA,"$2,831",30    ,radio/TV
975,57,female,1,own,quite rich,rich,"$1,258",24    ,radio/TV
976,64,female,2,own,little,moderate,$753,6    ,radio/TV
977,42,male,2,own,NA,moderate,"$2,427",18    ,business
978,47,male,1,own,little,NA,"$2,538",24    ,car
979,25,male,2,rent,moderate,moderate,"$1,264",15    ,car
980,49,male,2,own,little,moderate,"$8,386",30    ,furniture/equipment
981,33,male,3,rent,little,NA,"$4,844",48    ,business
982,28,female,3,own,moderate,rich,"$2,923",21    ,car
983,26,male,2,own,little,little,"$8,229",36    ,car
984,30,male,1,own,little,NA,"$2,028",24    ,furniture/equipment
985,25,female,2,rent,little,little,"$1,433",15    ,furniture/equipment
986,33,male,2,own,little,rich,"$6,289",42    ,business
987,64,female,2,own,moderate,NA,"$1,409",13    ,radio/TV
988,29,male,3,free,little,little,"$6,579",24    ,car
989,48,male,1,own,little,moderate,"$1,743",24    ,radio/TV
990,37,male,1,own,NA,NA,"$3,565",12    ,education
991,34,male,1,own,moderate,NA,"$1,569",15    ,radio/TV
992,23,male,1,rent,NA,little,"$1,936",18    ,radio/TV
993,30,male,3,own,little,little,"$3,959",36    ,furniture/equipment
994,50,male,2,own,NA,NA,"$2,390",12    ,car
995,31,female,1,own,little,NA,"$1,736",12    ,furniture/equipment
996,40,male,3,own,little,little,"$3,857",30    ,car
997,38,male,2,own,little,NA,$804,12    ,radio/TV
998,23,male,2,free,little,little,"$1,845",45    ,radio/TV
999,27,male,2,own,moderate,moderate,"$4,576",45    ,car
